;;;;;;;;;;
Título do Acordo;Tipo do Acordo;;;Outra Parte;Assuntos;Nº de Série;Nº da Pasta;;Data;Status da Tramitação 
Memorando de Entendimento para o Estabelecimento de Consultas Políticas entre o Ministério das Relações Exteriores da República Federativa do Brasil e o Ministério dos Negócios Estrangeiros e da Integração Europeia da República da Moldova.;Bilateral;;;Moldova;Consultas Diplomáticas;12611;3;;19/09/2022;Em Vigor
Convenção Aduaneira sobre o Transporte Internacional de Mercadorias ao Abrigo das Cadernetas TIR (Convenção TIR de 1975);Multilateral;;;N/A;"Transporte Terrestre 
Economia 
Controle de Fronteiras";12610;;;14/11/1975;Tramitação Ministérios/Casa Civil
Resolução 2649 (2022) do Conselho de Segurança das Nações Unidas;Multilateral;;;N/A;CSNU - Resoluções;12609;;;30/08/2022;Em Vigor
Acordo Quadro do Mercosul para Reconhecimento de Estudos, Títulos e Diplomas de Ensino Superior Técnico-Profissional, Tecnológico, Artístico e de Formação de Professores e em Educação;Multilateral;;;N/A;"Mercosul 
Ciência e Tecnologia 
Cultura 
Educação 
Integração Regional";12608;;;06/07/2022;Tramitação Ministérios/Casa Civil
Apêndice 48 ao Centésimo Nonagésimo Protocolo Adicional do Acordo de Complementação Econômica N° 18;Multilateral;;;N/A;"Aladi 
Comércio Internacional 
Economia";12607;;;30/08/2022;Em Vigor
Acordo do MERCOSUL para a Prevenção e Luta contra a Corrupção no Comércio e nos Investimentos Internacionais;Multilateral;;;N/A;"Mercosul 
Combate à Corrupção 
Investimentos Internacionais 
Comércio";12606;;;06/07/2022;Tramitação Ministérios/Casa Civil
Resolução 2648 (2022) do Conselho de Segurança das Nações Unidas;Multilateral;;;N/A;CSNU - Resoluções;12605;;;29/07/2022;Em Vigor
Tratado entre Noruega, Estados Unidos da América, Dinamarca, França, Itália, Japão, Países Baixos, Grã-Bretanha e Irlanda e os Territórios Britânicos d’Além-Mar, e Suécia sobre Spitsbergen (Tratado de Svalbard);Multilateral;;;N/A;"Direito do Mar 
Meio Ambiente";12604;;;09/02/1920;Tramitação Ministérios/Casa Civil
Anexo VI do Protocolo ao Tratado da Antártida sobre Proteção ao Meio Ambiente (“Protocolo de Madri”);Multilateral;;;N/A;"Meio Ambiente 
Antártida";12603;;;17/06/2005;Tramitação Ministérios/Casa Civil
Protocolo alterando a Convenção entre o Governo da República Federativa do Brasil e o Governo da República da Índia Destinada a Evitar a Dupla Tributação e Prevenir a Evasão Fiscal em Matéria de Impostos sobre a Renda celebrada em Nova Delhi, em 26 de abril de 1988 (modificada pelo Protocolo assinado em outubro de 2013).;Bilateral;;;Índia;Aduanas, Impostos e Tarifas;12602;58;;24/08/2022;Tramitação Ministérios/Casa Civil
